team1,team2,score1,score2,odd_team1,oddDraw,odd_team2,time,date
South Africa,New Zealand,9,3,,,,,3 Sep 1949
Argentina,France,0,5,,,,,28 Aou 1949
South Africa,New Zealand,12,6,,,,,13 Aou 1949
South Africa,New Zealand,15,11,,,,,16 Jul 1949
France,Wales,5,3,,,,,26 Mar 1949
England,Scotland,19,3,,,,,19 Mar 1949
Wales,Ireland,0,5,,,,,12 Mar 1949
Scotland,Ireland,3,13,,,,,26 Fev 1949
England,France,8,3,,,,,26 Fev 1949
Ireland,England,14,5,,,,,12 Fev 1949
Scotland,Wales,6,5,,,,,5 Fev 1949
Ireland,France,9,16,,,,,29 Jan 1949
France,Scotland,0,8,,,,,15 Jan 1949
Wales,England,9,3,,,,,15 Jan 1949
France,England,15,0,,,,,29 Mar 1948
Scotland,England,6,3,,,,,20 Mar 1948
Ireland,Wales,6,3,,,,,13 Mar 1948
Ireland,Scotland,6,0,,,,,28 Fev 1948
Wales,France,3,11,,,,,21 Fev 1948
Scotland,France,9,8,,,,,21 Fev 1948
England,Ireland,10,11,,,,,14 Fev 1948
Wales,Scotland,14,0,,,,,7 Fev 1948
England,Wales,3,3,,,,,17 Jan 1948
France,Australia,13,6,,,,,11 Jan 1948
England,Australia,0,11,,,,,3 Jan 1948
France,Ireland,6,13,,,,,1 Jan 1948
Wales,Australia,6,0,,,,,20  1947
Ireland,Australia,3,16,,,,,6  1947
Scotland,Australia,7,16,,,,,22 Nov 1947
Australia,New Zealand,14,27,,,,,28 Jui 1947
Australia,New Zealand,5,13,,,,,14 Jui 1947
England,France,6,3,,,,,19 Avr 1947
Wales,Ireland,6,0,,,,,29 Mar 1947
France,Wales,0,3,,,,,22 Mar 1947
England,Scotland,24,5,,,,,15 Mar 1947
Scotland,Ireland,0,3,,,,,22 Fev 1947
Ireland,England,22,0,,,,,8 Fev 1947
Scotland,Wales,8,22,,,,,1 Fev 1947
Ireland,France,8,12,,,,,25 Jan 1947
Wales,England,6,9,,,,,18 Jan 1947
France,Scotland,8,3,,,,,1 Jan 1947
New Zealand,Australia,14,10,,,,,28 Sep 1946
New Zealand,Australia,31,8,,,,,14 Sep 1946
Scotland,England,6,9,,,,,18 Mar 1939
Ireland,Wales,0,7,,,,,11 Mar 1939
Ireland,Scotland,12,3,,,,,25 Fev 1939
England,Ireland,0,5,,,,,11 Fev 1939
Wales,Scotland,11,3,,,,,4 Fev 1939
England,Wales,3,0,,,,,21 Jan 1939
Australia,New Zealand,6,14,,,,,13 Aou 1938
Australia,New Zealand,14,20,,,,,6 Aou 1938
Australia,New Zealand,9,24,,,,,23 Jul 1938
England,Scotland,16,21,,,,,19 Mar 1938
Wales,Ireland,11,5,,,,,12 Mar 1938
Scotland,Ireland,23,14,,,,,26 Fev 1938
Ireland,England,14,36,,,,,12 Fev 1938
Scotland,Wales,8,6,,,,,5 Fev 1938
Wales,England,14,8,,,,,15 Jan 1938
France,Italy,45,5,,,,,17 Oct 1937
New Zealand,South Africa,6,17,,,,,25 Sep 1937
New Zealand,South Africa,6,13,,,,,4 Sep 1937
New Zealand,South Africa,13,7,,,,,14 Aou 1937
Australia,South Africa,17,26,,,,,17 Jul 1937
Australia,South Africa,5,9,,,,,26 Jui 1937
Ireland,Wales,5,3,,,,,3 Avr 1937
Scotland,England,3,6,,,,,20 Mar 1937
Ireland,Scotland,11,4,,,,,27 Fev 1937
England,Ireland,9,8,,,,,13 Fev 1937
Wales,Scotland,6,13,,,,,6 Fev 1937
England,Wales,4,3,,,,,16 Jan 1937
New Zealand,Australia,38,13,,,,,12 Sep 1936
New Zealand,Australia,11,6,,,,,5 Sep 1936
England,Scotland,9,8,,,,,21 Mar 1936
Wales,Ireland,3,0,,,,,14 Mar 1936
Scotland,Ireland,4,10,,,,,22 Fev 1936
Ireland,England,6,3,,,,,8 Fev 1936
Scotland,Wales,3,13,,,,,1 Fev 1936
Wales,England,0,0,,,,,18 Jan 1936
England,New Zealand,13,0,,,,,4 Jan 1936
Wales,New Zealand,13,12,,,,,21  1935
Ireland,New Zealand,9,17,,,,,7  1935
Scotland,New Zealand,8,18,,,,,23 Nov 1935
Scotland,England,10,7,,,,,16 Mar 1935
Ireland,Wales,9,3,,,,,9 Mar 1935
Ireland,Scotland,12,5,,,,,23 Fev 1935
England,Ireland,14,3,,,,,9 Fev 1935
Wales,Scotland,10,6,,,,,2 Fev 1935
England,Wales,3,3,,,,,19 Jan 1935
Australia,New Zealand,3,3,,,,,25 Aou 1934
Australia,New Zealand,25,11,,,,,11 Aou 1934
England,Scotland,6,3,,,,,17 Mar 1934
Wales,Ireland,13,0,,,,,10 Mar 1934
Scotland,Ireland,16,9,,,,,24 Fev 1934
Ireland,England,3,13,,,,,10 Fev 1934
Scotland,Wales,6,13,,,,,3 Fev 1934
Wales,England,0,9,,,,,20 Jan 1934
South Africa,Australia,4,15,,,,,2 Sep 1933
South Africa,Australia,11,0,,,,,26 Aou 1933
South Africa,Australia,12,3,,,,,12 Aou 1933
South Africa,Australia,6,21,,,,,22 Jul 1933
South Africa,Australia,17,3,,,,,8 Jul 1933
Ireland,Scotland,6,8,,,,,1 Avr 1933
Scotland,England,3,0,,,,,18 Mar 1933
Ireland,Wales,10,5,,,,,11 Mar 1933
England,Ireland,17,6,,,,,11 Fev 1933
Wales,Scotland,3,11,,,,,4 Fev 1933
England,Wales,3,7,,,,,21 Jan 1933
Australia,New Zealand,13,21,,,,,23 Jul 1932
Australia,New Zealand,3,21,,,,,16 Jul 1932
Australia,New Zealand,22,17,,,,,2 Jul 1932
England,Scotland,16,3,,,,,19 Mar 1932
Wales,Ireland,10,12,,,,,12 Mar 1932
Scotland,Ireland,8,20,,,,,27 Fev 1932
Ireland,England,8,11,,,,,13 Fev 1932
Scotland,Wales,0,6,,,,,6 Fev 1932
Scotland,South Africa,3,6,,,,,16 Jan 1932
Wales,England,12,5,,,,,16 Jan 1932
England,South Africa,0,7,,,,,2 Jan 1932
Ireland,South Africa,3,8,,,,,19  1931
Wales,South Africa,3,8,,,,,5  1931
New Zealand,Australia,20,13,,,,,12 Sep 1931
France,England,14,13,,,,,6 Avr 1931
Scotland,England,28,19,,,,,21 Mar 1931
Ireland,Wales,3,15,,,,,14 Mar 1931
Ireland,Scotland,8,5,,,,,28 Fev 1931
Wales,France,35,3,,,,,28 Fev 1931
England,Ireland,5,6,,,,,14 Fev 1931
Wales,Scotland,13,8,,,,,7 Fev 1931
Scotland,France,6,4,,,,,24 Jan 1931
England,Wales,11,11,,,,,17 Jan 1931
France,Ireland,3,0,,,,,1 Jan 1931
France,Wales,0,11,,,,,21 Avr 1930
England,Scotland,0,0,,,,,15 Mar 1930
Wales,Ireland,12,7,,,,,8 Mar 1930
Scotland,Ireland,11,14,,,,,22 Fev 1930
England,France,11,5,,,,,22 Fev 1930
Ireland,England,4,3,,,,,8 Fev 1930
Scotland,Wales,12,9,,,,,1 Fev 1930
Ireland,France,0,5,,,,,25 Jan 1930
Wales,England,3,11,,,,,18 Jan 1930
France,Scotland,7,3,,,,,1 Jan 1930
Australia,New Zealand,15,13,,,,,27 Jul 1929
Australia,New Zealand,17,9,,,,,20 Jul 1929
Australia,New Zealand,8,9,,,,,6 Jul 1929
France,England,6,16,,,,,1 Avr 1929
Scotland,England,12,6,,,,,16 Mar 1929
Ireland,Wales,5,5,,,,,9 Mar 1929
Ireland,Scotland,7,16,,,,,23 Fev 1929
Wales,France,8,3,,,,,23 Fev 1929
England,Ireland,5,6,,,,,9 Fev 1929
Wales,Scotland,14,7,,,,,2 Fev 1929
England,Wales,8,3,,,,,19 Jan 1929
Scotland,France,6,3,,,,,19 Jan 1929
France,Ireland,0,6,,,,,31  1928
South Africa,New Zealand,5,13,,,,,1 Sep 1928
South Africa,New Zealand,11,6,,,,,18 Aou 1928
South Africa,New Zealand,6,7,,,,,21 Jul 1928
South Africa,New Zealand,17,0,,,,,30 Jui 1928
France,Wales,8,3,,,,,9 Avr 1928
England,Scotland,6,0,,,,,17 Mar 1928
Wales,Ireland,10,13,,,,,10 Mar 1928
Scotland,Ireland,5,13,,,,,25 Fev 1928
England,France,18,8,,,,,25 Fev 1928
Ireland,England,6,7,,,,,11 Fev 1928
Scotland,Wales,0,13,,,,,4 Fev 1928
Ireland,France,12,8,,,,,28 Jan 1928
France,Australia,8,11,,,,,22 Jan 1928
Wales,England,8,10,,,,,21 Jan 1928
England,Australia,18,11,,,,,7 Jan 1928
France,Scotland,6,15,,,,,2 Jan 1928
Scotland,Australia,10,8,,,,,17  1927
Wales,Australia,8,18,,,,,26 Nov 1927
Ireland,Australia,3,5,,,,,12 Nov 1927
France,England,3,0,,,,,2 Avr 1927
Scotland,England,21,13,,,,,19 Mar 1927
Ireland,Wales,19,9,,,,,12 Mar 1927
Wales,France,25,7,,,,,26 Fev 1927
Ireland,Scotland,6,0,,,,,26 Fev 1927
England,Ireland,8,6,,,,,12 Fev 1927
Wales,Scotland,0,5,,,,,5 Fev 1927
Scotland,France,23,6,,,,,22 Jan 1927
England,Wales,11,9,,,,,15 Jan 1927
France,Ireland,3,8,,,,,1 Jan 1927
France,Wales,5,7,,,,,5 Avr 1926
England,Scotland,9,17,,,,,20 Mar 1926
Wales,Ireland,11,8,,,,,13 Mar 1926
Scotland,Ireland,0,3,,,,,27 Fev 1926
England,France,11,0,,,,,27 Fev 1926
Ireland,England,19,15,,,,,13 Fev 1926
Scotland,Wales,8,5,,,,,6 Fev 1926
Wales,England,3,3,,,,,16 Jan 1926
France,Scotland,6,20,,,,,2 Jan 1926
Ireland,France,11,0,,,,,1 Jan 1926
France,England,11,13,,,,,13 Avr 1925
Scotland,England,14,11,,,,,21 Mar 1925
Ireland,Wales,19,3,,,,,14 Mar 1925
Ireland,Scotland,8,14,,,,,28 Fev 1925
Wales,France,11,5,,,,,28 Fev 1925
Scotland,France,25,4,,,,,21 Fev 1925
England,Ireland,6,6,,,,,14 Fev 1925
Wales,Scotland,14,24,,,,,7 Fev 1925
France,New Zealand,6,30,,,,,18 Jan 1925
England,Wales,12,6,,,,,17 Jan 1925
England,New Zealand,11,17,,,,,3 Jan 1925
France,Ireland,3,9,,,,,1 Jan 1925
Wales,New Zealand,0,19,,,,,29 Nov 1924
Ireland,New Zealand,0,6,,,,,1 Nov 1924
France,Wales,6,10,,,,,27 Mar 1924
England,Scotland,19,0,,,,,15 Mar 1924
Wales,Ireland,10,13,,,,,8 Mar 1924
Scotland,Ireland,13,8,,,,,23 Fev 1924
England,France,19,7,,,,,23 Fev 1924
Ireland,England,3,14,,,,,9 Fev 1924
Scotland,Wales,35,10,,,,,2 Fev 1924
Ireland,France,6,0,,,,,26 Jan 1924
Wales,England,9,17,,,,,19 Jan 1924
France,Scotland,12,10,,,,,1 Jan 1924
France,Ireland,14,8,,,,,14 Avr 1923
France,England,3,12,,,,,2 Avr 1923
Scotland,England,6,8,,,,,17 Mar 1923
Ireland,Wales,5,4,,,,,10 Mar 1923
Ireland,Scotland,3,13,,,,,24 Fev 1923
Wales,France,16,8,,,,,24 Fev 1923
England,Ireland,23,5,,,,,10 Fev 1923
Wales,Scotland,8,11,,,,,3 Fev 1923
England,Wales,7,3,,,,,20 Jan 1923
Scotland,France,16,3,,,,,20 Jan 1923
Ireland,France,8,3,,,,,8 Avr 1922
France,Wales,3,11,,,,,23 Mar 1922
England,Scotland,11,5,,,,,18 Mar 1922
Wales,Ireland,11,5,,,,,11 Mar 1922
England,France,11,11,,,,,25 Fev 1922
Scotland,Ireland,6,3,,,,,25 Fev 1922
Ireland,England,3,12,,,,,11 Fev 1922
Scotland,Wales,9,9,,,,,4 Fev 1922
Wales,England,28,6,,,,,21 Jan 1922
France,Scotland,3,3,,,,,2 Jan 1922
New Zealand,South Africa,0,0,,,,,17 Sep 1921
New Zealand,South Africa,5,9,,,,,27 Aou 1921
New Zealand,South Africa,13,5,,,,,13 Aou 1921
France,Ireland,20,10,,,,,9 Avr 1921
France,England,6,10,,,,,28 Mar 1921
Scotland,England,0,18,,,,,19 Mar 1921
Ireland,Wales,0,6,,,,,12 Mar 1921
Ireland,Scotland,9,8,,,,,26 Fev 1921
Wales,France,12,4,,,,,26 Fev 1921
England,Ireland,15,0,,,,,12 Fev 1921
Wales,Scotland,8,14,,,,,5 Fev 1921
Scotland,France,0,3,,,,,22 Jan 1921
England,Wales,18,3,,,,,15 Jan 1921
Ireland,France,7,15,,,,,3 Avr 1920
England,Scotland,13,4,,,,,20 Mar 1920
Wales,Ireland,28,4,,,,,13 Mar 1920
Scotland,Ireland,19,0,,,,,28 Fev 1920
France,Wales,5,6,,,,,17 Fev 1920
Ireland,England,11,14,,,,,14 Fev 1920
Scotland,Wales,9,5,,,,,7 Fev 1920
England,France,8,3,,,,,31 Jan 1920
Wales,England,19,5,,,,,17 Jan 1920
France,Scotland,0,5,,,,,1 Jan 1920
Australia,New Zealand,7,22,,,,,15 Aou 1914
Australia,New Zealand,0,17,,,,,1 Aou 1914
Australia,New Zealand,0,5,,,,,18 Jul 1914
France,England,13,39,,,,,13 Avr 1914
Scotland,England,15,16,,,,,21 Mar 1914
Ireland,Wales,3,11,,,,,14 Mar 1914
Wales,France,31,0,,,,,2 Mar 1914
Ireland,Scotland,6,0,,,,,28 Fev 1914
England,Ireland,17,12,,,,,14 Fev 1914
Wales,Scotland,24,5,,,,,7 Fev 1914
England,Wales,10,9,,,,,17 Jan 1914
France,Ireland,6,8,,,,,1 Jan 1914
New Zealand,Australia,5,16,,,,,20 Sep 1913
New Zealand,Australia,25,13,,,,,13 Sep 1913
New Zealand,Australia,30,5,,,,,6 Sep 1913
Ireland,France,24,0,,,,,24 Mar 1913
England,Scotland,3,0,,,,,15 Mar 1913
Wales,Ireland,16,13,,,,,8 Mar 1913
France,Wales,8,11,,,,,27 Fev 1913
Scotland,Ireland,29,14,,,,,22 Fev 1913
Ireland,England,4,15,,,,,9 Fev 1913
Scotland,Wales,0,8,,,,,1 Fev 1913
England,France,20,0,,,,,25 Jan 1913
Wales,England,0,12,,,,,18 Jan 1913
France,South Africa,5,38,,,,,11 Jan 1913
England,South Africa,3,9,,,,,4 Jan 1913
France,Scotland,3,21,,,,,1 Jan 1913
Wales,South Africa,0,3,,,,,14  1912
Ireland,South Africa,0,38,,,,,30 Nov 1912
Scotland,South Africa,0,16,,,,,23 Nov 1912
France,England,8,18,,,,,8 Avr 1912
Wales,France,14,8,,,,,25 Mar 1912
Scotland,England,8,3,,,,,16 Mar 1912
Ireland,Wales,12,5,,,,,9 Mar 1912
Ireland,Scotland,10,8,,,,,24 Fev 1912
England,Ireland,15,0,,,,,10 Fev 1912
Wales,Scotland,21,6,,,,,3 Fev 1912
Scotland,France,31,3,,,,,20 Jan 1912
England,Wales,8,0,,,,,20 Jan 1912
France,Ireland,6,11,,,,,1 Jan 1912
Ireland,France,25,5,,,,,25 Mar 1911
England,Scotland,13,8,,,,,18 Mar 1911
Wales,Ireland,16,0,,,,,11 Mar 1911
France,Wales,0,15,,,,,28 Fev 1911
Scotland,Ireland,10,16,,,,,25 Fev 1911
Ireland,England,3,0,,,,,11 Fev 1911
Scotland,Wales,10,32,,,,,4 Fev 1911
England,France,37,0,,,,,28 Jan 1911
Wales,England,15,11,,,,,21 Jan 1911
France,Scotland,16,15,,,,,2 Jan 1911
Australia,New Zealand,13,28,,,,,2 Jul 1910
Australia,New Zealand,11,0,,,,,27 Jui 1910
Australia,New Zealand,0,6,,,,,25 Jui 1910
France,Ireland,3,8,,,,,28 Mar 1910
Scotland,England,5,14,,,,,19 Mar 1910
Ireland,Wales,3,19,,,,,12 Mar 1910
France,England,3,11,,,,,3 Mar 1910
Ireland,Scotland,0,14,,,,,26 Fev 1910
England,Ireland,0,0,,,,,11 Fev 1910
Wales,Scotland,14,0,,,,,5 Fev 1910
Scotland,France,27,0,,,,,22 Jan 1910
England,Wales,11,6,,,,,15 Jan 1910
Wales,France,49,14,,,,,1 Jan 1910
England,Scotland,8,18,,,,,20 Mar 1909
Ireland,France,19,8,,,,,20 Mar 1909
Wales,Ireland,18,5,,,,,13 Mar 1909
Scotland,Ireland,9,3,,,,,27 Fev 1909
France,Wales,5,47,,,,,23 Fev 1909
Ireland,England,5,11,,,,,13 Fev 1909
Scotland,Wales,3,5,,,,,6 Fev 1909
England,France,22,0,,,,,30 Jan 1909
Wales,England,8,0,,,,,16 Jan 1909
England,Australia,3,9,,,,,9 Jan 1909
Wales,Australia,9,6,,,,,12  1908
Scotland,England,16,10,,,,,21 Mar 1908
Ireland,Wales,5,11,,,,,14 Mar 1908
Wales,France,36,4,,,,,2 Mar 1908
Ireland,Scotland,16,11,,,,,29 Fev 1908
England,Ireland,13,3,,,,,8 Fev 1908
Wales,Scotland,6,5,,,,,1 Fev 1908
England,Wales,18,28,,,,,18 Jan 1908
France,England,0,19,,,,,1 Jan 1908
Australia,New Zealand,5,5,,,,,10 Aou 1907
Australia,New Zealand,5,14,,,,,3 Aou 1907
Australia,New Zealand,6,26,,,,,20 Jul 1907
England,Scotland,3,8,,,,,16 Mar 1907
Wales,Ireland,29,0,,,,,9 Mar 1907
Scotland,Ireland,15,3,,,,,23 Fev 1907
Ireland,England,17,9,,,,,9 Fev 1907
Scotland,Wales,6,3,,,,,2 Fev 1907
Wales,England,22,0,,,,,12 Jan 1907
England,France,41,13,,,,,5 Jan 1907
England,South Africa,3,3,,,,,8  1906
Wales,South Africa,0,11,,,,,1  1906
Ireland,South Africa,12,15,,,,,24 Nov 1906
Scotland,South Africa,6,0,,,,,17 Nov 1906
France,England,8,35,,,,,22 Mar 1906
Scotland,England,3,9,,,,,17 Mar 1906
Ireland,Wales,11,6,,,,,10 Mar 1906
Ireland,Scotland,6,13,,,,,24 Fev 1906
England,Ireland,6,16,,,,,10 Fev 1906
Wales,Scotland,9,3,,,,,3 Fev 1906
England,Wales,3,16,,,,,13 Jan 1906
France,New Zealand,8,38,,,,,1 Jan 1906
Wales,New Zealand,3,0,,,,,16  1905
England,New Zealand,0,15,,,,,2  1905
Ireland,New Zealand,0,15,,,,,25 Nov 1905
Scotland,New Zealand,7,12,,,,,18 Nov 1905
New Zealand,Australia,14,3,,,,,2 Sep 1905
England,Scotland,0,8,,,,,18 Mar 1905
Wales,Ireland,10,3,,,,,11 Mar 1905
Scotland,Ireland,5,11,,,,,25 Fev 1905
Ireland,England,17,3,,,,,11 Fev 1905
Scotland,Wales,3,6,,,,,4 Fev 1905
Wales,England,25,0,,,,,14 Jan 1905
Scotland,England,6,3,,,,,19 Mar 1904
Ireland,Wales,14,12,,,,,12 Mar 1904
Ireland,Scotland,3,19,,,,,27 Fev 1904
England,Ireland,19,0,,,,,13 Fev 1904
Wales,Scotland,21,3,,,,,6 Fev 1904
England,Wales,14,14,,,,,9 Jan 1904
Australia,New Zealand,3,22,,,,,15 Aou 1903
England,Scotland,6,10,,,,,21 Mar 1903
Wales,Ireland,18,0,,,,,14 Mar 1903
Scotland,Ireland,3,0,,,,,28 Fev 1903
Ireland,England,6,0,,,,,14 Fev 1903
Scotland,Wales,6,0,,,,,7 Fev 1903
Wales,England,21,5,,,,,10 Jan 1903
Scotland,England,3,6,,,,,15 Mar 1902
Ireland,Wales,0,15,,,,,6 Mar 1902
Ireland,Scotland,5,0,,,,,22 Fev 1902
England,Ireland,6,3,,,,,8 Fev 1902
Wales,Scotland,14,5,,,,,1 Fev 1902
England,Wales,8,9,,,,,11 Jan 1902
Wales,Ireland,10,9,,,,,16 Mar 1901
England,Scotland,3,18,,,,,9 Mar 1901
Scotland,Ireland,9,5,,,,,23 Fev 1901
Scotland,Wales,18,8,,,,,9 Fev 1901
Ireland,England,10,6,,,,,9 Fev 1901
Wales,England,13,0,,,,,5 Jan 1901
Ireland,Wales,0,3,,,,,17 Mar 1900
Scotland,England,0,0,,,,,10 Mar 1900
Ireland,Scotland,0,0,,,,,24 Fev 1900
England,Ireland,15,4,,,,,3 Fev 1900
Wales,Scotland,12,3,,,,,27 Jan 1900
England,Wales,3,13,,,,,6 Jan 1900
Wales,Ireland,0,3,,,,,18 Mar 1899
England,Scotland,0,5,,,,,11 Mar 1899
Scotland,Wales,21,10,,,,,4 Mar 1899
Scotland,Ireland,3,9,,,,,18 Fev 1899
Ireland,England,6,0,,,,,4 Fev 1899
Wales,England,26,3,,,,,7 Jan 1899
England,Wales,14,7,,,,,2 Avr 1898
Ireland,Wales,3,11,,,,,19 Mar 1898
Scotland,England,3,3,,,,,12 Mar 1898
Ireland,Scotland,0,8,,,,,19 Fev 1898
England,Ireland,6,9,,,,,5 Fev 1898
England,Scotland,12,3,,,,,13 Mar 1897
Scotland,Ireland,8,3,,,,,20 Fev 1897
Ireland,England,13,9,,,,,6 Fev 1897
Wales,England,11,0,,,,,9 Jan 1897
Ireland,Wales,8,4,,,,,17 Mar 1896
Scotland,England,11,0,,,,,14 Mar 1896
Ireland,Scotland,0,0,,,,,15 Fev 1896
England,Ireland,4,10,,,,,1 Fev 1896
Wales,Scotland,6,0,,,,,25 Jan 1896
England,Wales,25,0,,,,,4 Jan 1896
Wales,Ireland,5,3,,,,,16 Mar 1895
England,Scotland,3,6,,,,,9 Mar 1895
Scotland,Ireland,6,0,,,,,2 Mar 1895
Ireland,England,3,6,,,,,2 Fev 1895
Scotland,Wales,5,4,,,,,26 Jan 1895
Wales,England,6,14,,,,,5 Jan 1895
Scotland,England,6,0,,,,,17 Mar 1894
Ireland,Wales,3,0,,,,,10 Mar 1894
Ireland,Scotland,5,0,,,,,24 Fev 1894
England,Ireland,5,7,,,,,3 Fev 1894
Wales,Scotland,7,0,,,,,3 Fev 1894
England,Wales,24,3,,,,,4 Jan 1894
Wales,Ireland,2,0,,,,,11 Mar 1893
England,Scotland,0,8,,,,,4 Mar 1893
Ireland,Scotland,0,0,,,,,18 Fev 1893
Scotland,Wales,0,9,,,,,4 Fev 1893
Ireland,England,0,4,,,,,4 Fev 1893
Wales,England,12,11,,,,,7 Jan 1893
Scotland,England,0,5,,,,,6 Mar 1892
Ireland,Wales,9,0,,,,,5 Mar 1892
Scotland,Ireland,2,0,,,,,20 Fev 1892
Wales,Scotland,2,7,,,,,6 Fev 1892
England,Ireland,7,0,,,,,6 Fev 1892
England,Wales,17,0,,,,,2 Jan 1892
England,Scotland,3,9,,,,,7 Mar 1891
Wales,Ireland,6,4,,,,,7 Mar 1891
Ireland,Scotland,0,14,,,,,21 Fev 1891
Ireland,England,0,9,,,,,7 Fev 1891
Scotland,Wales,15,0,,,,,7 Fev 1891
Wales,England,3,7,,,,,3 Jan 1891
England,Ireland,3,0,,,,,15 Mar 1890
Scotland,England,0,6,,,,,1 Mar 1890
Ireland,Wales,3,3,,,,,1 Mar 1890
Scotland,Ireland,5,0,,,,,22 Fev 1890
England,Wales,0,1,,,,,15 Fev 1890
Wales,Scotland,2,8,,,,,1 Fev 1890
Wales,Ireland,0,1,,,,,2 Mar 1889
Ireland,Scotland,0,1,,,,,16 Fev 1889
Scotland,Wales,1,0,,,,,2 Fev 1889
Scotland,Ireland,1,0,,,,,10 Mar 1888
Ireland,Wales,2,0,,,,,3 Mar 1888
Wales,Scotland,1,0,,,,,4 Fev 1888
Wales,Ireland,0,1,,,,,12 Mar 1887
England,Scotland,0,0,,,,,5 Mar 1887
Scotland,Wales,4,0,,,,,26 Fev 1887
Ireland,Scotland,0,2,,,,,19 Fev 1887
Ireland,England,2,0,,,,,5 Fev 1887
Wales,England,0,0,,,,,8 Jan 1887
Scotland,England,0,0,,,,,13 Mar 1886
Scotland,Ireland,4,0,,,,,20 Fev 1886
Ireland,England,0,1,,,,,6 Fev 1886
Wales,Scotland,0,2,,,,,9 Jan 1886
England,Wales,2,1,,,,,2 Jan 1886
Scotland,Ireland,1,0,,,,,7 Mar 1885
England,Ireland,1,0,,,,,7 Fev 1885
Scotland,Wales,0,0,,,,,10 Jan 1885
Wales,England,1,2,,,,,3 Jan 1885
Wales,Ireland,1,0,,,,,12 Avr 1884
England,Scotland,1,0,,,,,1 Mar 1884
Scotland,Ireland,2,0,,,,,16 Fev 1884
Ireland,England,0,1,,,,,4 Fev 1884
Wales,Scotland,0,1,,,,,12 Jan 1884
England,Wales,2,1,,,,,5 Jan 1884
Scotland,England,0,1,,,,,3 Mar 1883
Ireland,Scotland,0,1,,,,,17 Fev 1883
England,Ireland,1,0,,,,,10 Fev 1883
Scotland,Wales,3,1,,,,,8 Jan 1883
Wales,England,0,2,,,,,16  1882
England,Scotland,0,1,,,,,4 Mar 1882
Scotland,Ireland,1,0,,,,,18 Fev 1882
Ireland,England,0,0,,,,,6 Fev 1882
Ireland,Wales,0,2,,,,,28 Jan 1882
Scotland,England,1,1,,,,,19 Mar 1881
England,Wales,8,0,,,,,19 Fev 1881
Ireland,Scotland,1,0,,,,,19 Fev 1881
England,Ireland,2,0,,,,,10 Fev 1881
England,Scotland,2,1,,,,,28 Fev 1880
Scotland,Ireland,3,0,,,,,14 Fev 1880
Ireland,England,0,1,,,,,30 Jan 1880
England,Ireland,3,0,,,,,24 Mar 1879
Scotland,England,1,1,,,,,10 Mar 1879
Ireland,Scotland,0,2,,,,,17 Fev 1879
Ireland,England,0,2,,,,,11 Mar 1878
England,Scotland,0,0,,,,,4 Mar 1878
Scotland,England,1,0,,,,,5 Mar 1877
Ireland,Scotland,0,6,,,,,19 Fev 1877
England,Ireland,2,0,,,,,5 Fev 1877
England,Scotland,1,0,,,,,6 Mar 1876
Ireland,England,0,1,,,,,13  1875
Scotland,England,0,0,,,,,8 Mar 1875
England,Ireland,2,0,,,,,15 Fev 1875
England,Scotland,1,0,,,,,23 Fev 1874
Scotland,England,0,0,,,,,3 Mar 1873
England,Scotland,2,1,,,,,5 Fev 1872
Scotland,England,1,0,,,,,27 Mar 1871
